block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
289;nbody0;nbody0.c:54-136;43.03;3.44;;;;;;
287;nbody0;nbody0.c:54-136;41.59;3.33;;;;;;
286;nbody0;nbody0.c:133-133;1.63;0.13;;;;;;
288;nbody0;nbody0.c:133-133;1.44;0.11;;;;;;
88;nbody0;nbody0.c:116-116;0.63;0.05;;;;;;
103;nbody0;nbody0.c:116-116;0.63;0.05;;;;;;
106;nbody0;nbody0.c:116-116;0.5;0.04;;;;;;
53;nbody0;nbody0.c:116-116;0.38;0.03;;;;;;
100;nbody0;nbody0.c:116-116;0.38;0.03;;;;;;
94;nbody0;nbody0.c:116-116;0.31;0.02;;;;;;
91;nbody0;nbody0.c:116-116;0.31;0.02;;;;;;
97;nbody0;nbody0.c:116-116;0.25;0.02;;;;;;
283;nbody0;nbody0.c:54-136;0.19;0.01;;;;;;
57;nbody0;nbody0.c:116-116;0.13;0.01;;;;;;
59;nbody0;nbody0.c:116-116;0.13;0.01;;;;;;
65;nbody0;nbody0.c:116-116;0.13;0.01;;;;;;
51;nbody0;nbody0.c:114-114;0.06;0;;;;;;
55;nbody0;nbody0.c:116-116;0.06;0;;;;;;
56;nbody0;nbody0.c:115-115;0.06;0;;;;;;
73;nbody0;nbody0.c:115-115;0.06;0;;;;;;
70;nbody0;nbody0.c:115-115;0.06;0;;;;;;
285;nbody0;nbody0.c:134-134;0.06;0;;;;;;
19;nbody0;nbody0.c:54-152;0.06;0;;;;;;
34;nbody0;nbody0.c:54-145;0.06;0;;;;;;
