name;time_p;time_s;cpi_ratio;
/home/madjid/Bureau/CHPS/Archi_Paralelle/TP2-1/todo/maqao_2021-12-03_15-36-11/binaries/nbody0;92.12;7.37;;
/usr/lib/x86_64-linux-gnu/dri/iris_dri.so;2.81;0.22;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;1.38;0.11;;
/usr/lib/x86_64-linux-gnu/libSDL2-2.0.so.0.10.0;1.19;0.1;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.56;0.04;;
/usr/lib/x86_64-linux-gnu/libX11.so.6.3.0;0.44;0.03;;
/usr/lib/x86_64-linux-gnu/libGLX_mesa.so.0.0.0;0.38;0.03;;
/usr/lib/x86_64-linux-gnu/libglapi.so.0.0.0;0.25;0.02;;
/usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0;0.19;0.01;;
/usr/lib/x86_64-linux-gnu/libdbus-1.so.3.19.11;0.13;0.01;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.13;0.01;;
kernel;0.13;0.01;;
/usr/lib/x86_64-linux-gnu/libGLX.so.0.0.0;0.06;0;;
/usr/lib/x86_64-linux-gnu/libexpat.so.1.6.11;0.06;0;;
/usr/lib/x86_64-linux-gnu/libxshmfence.so.1.0.0;0.06;0;;
/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.4;0.06;0;;
[vdso];0.06;0;;
