block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
221;nbody_op;nbody_op.c:91-96;79.66;3.99;3.99;3.99;3.99;0;1;
200;nbody_op;nbody_op.c:71-71;1.3;0.06;0.06;0.06;0.06;0;1;
188;nbody_op;nbody_op.c:71-71;1;0.05;0.05;0.05;0.05;0;1;
154;nbody_op;nbody_op.c:71-71;0.9;0.04;0.04;0.04;0.04;0;1;
203;nbody_op;nbody_op.c:71-71;0.8;0.04;0.04;0.04;0.04;0;1;
194;nbody_op;nbody_op.c:71-71;0.7;0.03;0.03;0.03;0.03;0;1;
191;nbody_op;nbody_op.c:71-71;0.5;0.02;0.02;0.02;0.02;0;1;
209;nbody_op;nbody_op.c:70-70;0.4;0.02;0.02;0.02;0.02;0;1;
222;nbody_op;nbody_op.c:91-96;0.4;0.02;0.02;0.02;0.02;0;1;
206;nbody_op;nbody_op.c:71-71;0.3;0.01;0.01;0.01;0.01;0;1;
197;nbody_op;nbody_op.c:71-71;0.2;0.01;0.01;0.01;0.01;0;1;
153;nbody_op;nbody_op.c:70-70;0.1;0;0;0;0;0;1;
164;nbody_op;nbody_op.c:71-71;0.1;0;0;0;0;0;1;
166;nbody_op;nbody_op.c:71-71;0.1;0;0;0;0;0;1;
