function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
13;nbody_op;compute_accelerations;nbody_op.c:86-101;80.06;4.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
12;nbody_op;resolve_collisions;nbody_op.c:68-83;6.38;0.32;;;;;;"100,0,0,0,0,0,0,0,0,0";
814;iris_dri.so;__driDriverGetExtensions_d3d12;;2.49;0.12;;;;;;"0,0,0,0,0,0,0,0,0,100";
849;libSDL2-2.0.so.0.10.0;SDL_DYNAPI_entry;;2.19;0.11;;;;;;"0,0,0,0,0,0,0,0,0,100";
818;iris_dri.so;nouveau_drm_screen_create;;1.89;0.09;;;;;;"0,0,0,0,0,0,0,0,0,100";
11;ld-2.31.so;_dl_rtld_di_serinfo;;1;0.05;;;;;;"0,0,0,0,100,0,0,0,0,0";
911;libX11.so.6.3.0;_XimLcctstoutf8;;0.8;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
1902;libc-2.31.so;__nss_database_lookup;;0.6;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libGLX_mesa.so.0.0.0;glIsTextureEXT;;0.6;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
1247;libGLX_mesa.so.0.0.0;glPrimitiveBoundingBox;;0.3;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
762;libX11.so.6.3.0;_XlcCreateLocaleDataBase;;0.2;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
584;libc-2.31.so;pthread_attr_setschedparam;;0.2;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
443;libc-2.31.so;_IO_getc;;0.2;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
296;libc-2.31.so;swapcontext;;0.2;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
232;libpthread-2.31.so;__GI___pthread_once;;0.2;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
99;libGLX.so.0.0.0;glXDestroyGLXPixmap;;0.2;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
62;libxcb.so.1.1.0;xcb_send_request_with_fds64;;0.2;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
30;libglapi.so.0.0.0;_glapi_get_context;;0.2;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
15;libglapi.so.0.0.0;.text@start;;0.2;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
1103;libc-2.31.so;ioctl;;0.1;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
895;libc-2.31.so;__getpid;;0.1;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
783;libX11.so.6.3.0;_Xlcmbstowcs;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
679;libX11.so.6.3.0;_XGetRequest;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
586;libc-2.31.so;__libc_free;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
585;libc-2.31.so;__libc_malloc;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
375;libX11.so.6.3.0;XUnlockDisplay;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
348;libc-2.31.so;psiginfo;;0.1;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
335;libdbus-1.so.3.19.11;_dbus_rmutex_lock;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
233;libGLX_mesa.so.0.0.0;.plt.sec@start;;0.1;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
175;libSDL2-2.0.so.0.10.0;.plt.sec@start;;0.1;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
160;libpthread-2.31.so;__GI___pthread_mutex_unlock;;0.1;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
151;libdbus-1.so.3.19.11;_dbus_type_reader_recurse;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
85;libexpat.so.1.6.11;XML_GetFeatureList;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
73;libxcb.so.1.1.0;xcb_unregister_for_special_event;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
70;libdbus-1.so.3.19.11;_dbus_connection_unref_unlocked;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
36;libGLdispatch.so.0.0.0;_glapi_get_current;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
0;[vdso];Unknown function;;0.1;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
-1;kernel;unknown_kernel_region;;0.1;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
