function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
17;nbody_Version_SSE_Scalar;compute_accelerations;nbody_Version_SSE_Scalar.c:64-244;80.26;3.13;3.68;3.68;3.68;0;1;"100,0,0,0,0,0,0,0,0,0";
814;swrast_dri.so;__driDriverGetExtensions_d3d12;;13.96;0.55;0.05;0.07;0.11;29.062393188477;9;"0,0,0,0,0,0,0,0,0,100";
153;libpthread-2.31.so;__GI___pthread_mutex_lock;;0.87;0.03;0;0.01;0.01;5.6867866516113;5;"0,0,0,0,0,100,0,0,0,0";
1;nbody_Version_SSE_Scalar;main;stdio2.h:107-107,nbody_Version_SSE_Scalar.c:41-329;0.65;0.03;0.03;0.03;0.03;0;1;"100,0,0,0,0,0,0,0,0,0";
0;anon;Unknown function;;0.33;0.01;0;0;0;1.0089765787125;3;"0,0,0,0,0,0,0,0,0,100";
849;libSDL2-2.0.so.0.10.0;SDL_DYNAPI_entry;;0.33;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
19;nbody_Version_SSE_Scalar;compute_positions;nbody_Version_SSE_Scalar.c:64-258;0.33;0.01;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
1454;libc-2.31.so;__printf_chk;;0.22;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
584;libc-2.31.so;pthread_attr_setschedparam;;0.22;0.01;0;0;0;4.3288788795471;2;"0,0,0,0,0,100,0,0,0,0";
375;libX11.so.6.3.0;XUnlockDisplay;;0.22;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
239;libGLX_mesa.so.0.0.0;MesaGLInteropGLXExportObject;;0.22;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
160;libpthread-2.31.so;__GI___pthread_mutex_unlock;;0.22;0.01;0;0;0;0;2;"0,0,0,0,0,100,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.22;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
1902;libc-2.31.so;__nss_database_lookup;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
1332;libc-2.31.so;recvmsg;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
591;libc-2.31.so;__libc_calloc;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
590;libX11.so.6.3.0;XStringToKeysym;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
585;libc-2.31.so;__libc_malloc;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
565;libc-2.31.so;pthread_mutex_lock;;0.11;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
473;libX11.so.6.3.0;XEventsQueued;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
296;libc-2.31.so;swapcontext;;0.11;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
278;libpthread-2.31.so;__lll_lock_wait;;0.11;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
276;libpthread-2.31.so;__pthread_disable_asynccancel;;0.11;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
275;libpthread-2.31.so;__pthread_enable_asynccancel;;0.11;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
237;libGLX_mesa.so.0.0.0;glIsTextureEXT;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
214;libpthread-2.31.so;__pthread_barrier_wait;;0.11;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
191;libpthread-2.31.so;__pthread_cond_wait;;0.11;0;0;0;0;0;1;"0,0,0,0,0,100,0,0,0,0";
78;libxcb.so.1.1.0;xcb_wait_for_special_event;;0.11;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
15;libglapi.so.0.0.0;.text@start;;0.11;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
0;nbody_Version_SSE_Scalar;Unknown function;;0.11;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.11;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
