function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
17;nbody1;compute_accelerations;nbody1.c:64-147;63.32;7.76;8.2;8.2;8.2;0;1;"100,0,0,0,0,0,0,0,0,0";
825;libc-2.31.so;clock_nanosleep;;17.95;2.2;2.33;2.33;2.33;0;1;"0,0,0,0,100,0,0,0,0,0";
191;libpthread-2.31.so;__pthread_cond_wait;;5.41;0.66;0.05;0.17;0.25;0;4;"0,0,0,0,0,100,0,0,0,0";
1;nbody1;main;stdio2.h:107-107,nbody1.c:41-232;4.05;0.5;0.52;0.52;0.52;0;1;"100,0,0,0,0,0,0,0,0,0";
814;iris_dri.so;__driDriverGetExtensions_d3d12;;2.9;0.35;0.38;0.38;0.38;0;1;"0,0,0,0,0,0,0,0,0,100";
849;libSDL2-2.0.so.0.10.0;SDL_DYNAPI_entry;;1.54;0.19;0.2;0.2;0.2;0;1;"0,0,0,0,0,0,0,0,0,100";
818;iris_dri.so;nouveau_drm_screen_create;;0.77;0.09;0.1;0.1;0.1;0;1;"0,0,0,0,0,0,0,0,0,100";
1103;libc-2.31.so;ioctl;;0.58;0.07;0.08;0.08;0.08;0;1;"0,0,0,0,0,0,100,0,0,0";
15;libglapi.so.0.0.0;.text@start;;0.58;0.07;0.08;0.08;0.08;0;1;"0,0,0,0,100,0,0,0,0,0";
232;libpthread-2.31.so;__GI___pthread_once;;0.39;0.05;0.05;0.05;0.05;0;1;"0,0,0,0,0,100,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.39;0.05;0.05;0.05;0.05;0;1;"0,0,0,0,100,0,0,0,0,0";
1332;libc-2.31.so;recvmsg;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,100,0,0,0";
1325;libc-2.31.so;__connect;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,100,0,0,0";
1060;libc-2.31.so;__poll;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,100,0,0,0";
911;libX11.so.6.3.0;_XimLcctstoutf8;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,0,0,0,100";
584;libc-2.31.so;pthread_attr_setschedparam;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,100,0,0,0,0";
240;libGLX_mesa.so.0.0.0;glAreTexturesResidentEXT;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,0,0,0,100";
237;libGLX_mesa.so.0.0.0;glIsTextureEXT;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,0,0,0,100";
233;libGLX_mesa.so.0.0.0;.plt.sec@start;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,100,0,0,0,0,0";
209;libc-2.31.so;__cxa_atexit;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,100,0,0,0,0,0";
30;libglapi.so.0.0.0;_glapi_get_context;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,0,0,0,0,0,100";
22;ld-2.31.so;_dl_exception_free;;0.19;0.02;0.03;0.03;0.03;0;1;"0,0,0,0,100,0,0,0,0,0";
