block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
56;queens;queens.c:8-10;34.38;2.52;2.52;2.52;2.52;0;1;
62;queens;queens.c:24-24;20.12;1.47;1.47;1.47;1.47;0;1;
64;queens;queens.c:24-24;12.62;0.92;0.92;0.92;0.92;0;1;
66;queens;queens.c:23-23;4.71;0.34;0.34;0.34;0.34;0;1;
65;queens;queens.c:24-24;4.3;0.31;0.31;0.31;0.31;0;1;
57;queens;queens.c:12-12;3.89;0.28;0.28;0.28;0.28;0;1;
82;queens;queens.c:71-74;3.82;0.28;0.28;0.28;0.28;0;1;
61;queens;queens.c:23-23;3;0.22;0.22;0.22;0.22;0;1;
63;queens;queens.c:31-31;2.52;0.19;0.18;0.18;0.18;0;1;
60;queens;queens.c:19-23;2.39;0.18;0.18;0.18;0.18;0;1;
59;queens;queens.c:14-14;2.25;0.16;0.16;0.16;0.16;0;1;
58;queens;queens.c:11-11;1.98;0.14;0.14;0.14;0.14;0;1;
67;queens;queens.c:38-38;1.57;0.11;0.11;0.11;0.11;0;1;
81;queens;queens.c:71-71;0.89;0.06;0.06;0.06;0.06;0;1;
80;queens;queens.c:69-69;0.55;0.04;0.04;0.04;0.04;0;1;
83;queens;queens.c:91-91;0.27;0.02;0.02;0.02;0.02;0;1;
76;queens;queens.c:58-60;0.2;0.01;0.01;0.01;0.01;0;1;
85;queens;queens.c:80-82;0.2;0.01;0.01;0.01;0.01;0;1;
84;queens;queens.c:76-80;0.14;0.01;0.01;0.01;0.01;0;1;
77;queens;queens.c:62-69;0.07;0;0;0;0;0;1;
79;queens;queens.c:96-96;0.07;0;0;0;0;0;1;
68;queens;queens.c:35-35;0.07;0;0;0;0;0;1;
