block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
196;SOA;SOA.c:153-165;31.18;0.87;1.16;1.16;1.16;0;1;
194;SOA;SOA.c:153-165;28.9;0.81;1.07;1.07;1.07;0;1;
195;SOA;SOA.c:151-151;2.02;0.06;0.07;0.07;0.07;0;1;
193;SOA;SOA.c:151-151;2.02;0.06;0.07;0.07;0.07;0;1;
176;SOA;SOA.c:130-130;0.67;0.02;0.02;0.02;0.02;0;1;
173;SOA;SOA.c:130-130;0.54;0.02;0.02;0.02;0.02;0;1;
179;SOA;SOA.c:129-129;0.54;0.02;0.02;0.02;0.02;0;1;
155;SOA;SOA.c:130-130;0.27;0.01;0.01;0.01;0.01;0;1;
170;SOA;SOA.c:129-130;0.27;0.01;0.01;0.01;0.01;0;1;
153;SOA;SOA.c:128-128;0.13;0;0;0;0;0;1;
167;SOA;SOA.c:129-129;0.13;0;0;0;0;0;1;
40;SOA;SOA.c:256-256;0.13;0;0;0;0;0;1;
190;SOA;SOA.c:153-165;0.13;0;0;0;0;0;1;
