block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
196;SOA;SOA.c:153-165;41.35;1.16;;;;;;
194;SOA;SOA.c:153-165;38.32;1.07;;;;;;
195;SOA;SOA.c:151-151;2.67;0.07;;;;;;
193;SOA;SOA.c:151-151;2.67;0.07;;;;;;
176;SOA;SOA.c:130-130;0.89;0.02;;;;;;
173;SOA;SOA.c:130-130;0.71;0.02;;;;;;
179;SOA;SOA.c:129-129;0.71;0.02;;;;;;
155;SOA;SOA.c:130-130;0.36;0.01;;;;;;
170;SOA;SOA.c:129-130;0.36;0.01;;;;;;
153;SOA;SOA.c:128-128;0.18;0;;;;;;
167;SOA;SOA.c:129-129;0.18;0;;;;;;
40;SOA;SOA.c:256-256;0.18;0;;;;;;
190;SOA;SOA.c:153-165;0.18;0;;;;;;
