function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
17;SOA;compute_accelerations;SOA.c:145-176;85.2;2.39;;;;;;"100,0,0,0,0,0,0,0,0,0";
16;SOA;resolve_collisions;SOA.c:126-141;3.39;0.1;;;;;;"100,0,0,0,0,0,0,0,0,0";
814;swrast_dri.so;__driDriverGetExtensions_d3d12;;3.03;0.09;;;;;;"0,0,0,0,0,0,0,0,0,100";
849;libSDL2-2.0.so.0.10.0;SDL_DYNAPI_entry;;2.32;0.06;;;;;;"0,0,0,0,0,0,0,0,0,100";
1902;libc-2.31.so;__nss_database_lookup;;0.71;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
585;libc-2.31.so;__libc_malloc;;0.53;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
0;anon;Unknown function;;0.53;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libGLX_mesa.so.0.0.0;glIsTextureEXT;;0.36;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
99;libGLX.so.0.0.0;glXDestroyGLXPixmap;;0.36;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.36;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
9788;libLLVM-12.so.1;llvm::SelectionDAGISel::SelectCodeCommon(llvm::SDNode*, unsigned char const*, unsigned int);;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
1454;libc-2.31.so;__printf_chk;;0.18;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
1332;libc-2.31.so;recvmsg;;0.18;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
911;libX11.so.6.3.0;_XimLcctstoutf8;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
825;libc-2.31.so;clock_nanosleep;;0.18;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
715;libc-2.31.so;explicit_bzero;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
629;libX11.so.6.3.0;_XSend;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
609;libSDL2-2.0.so.0.10.0;SDL_Delay;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
592;libX11.so.6.3.0;XSync;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
584;libc-2.31.so;pthread_attr_setschedparam;;0.18;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
557;libc-2.31.so;pthread_cond_signal;;0.18;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
555;libc-2.31.so;pthread_cond_destroy;;0.18;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
188;libpthread-2.31.so;__pthread_cond_destroy;;0.18;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
135;libX11.so.6.3.0;.plt.sec@start;;0.18;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
81;libxcb.so.1.1.0;xcb_poll_for_event;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
50;libxcb.so.1.1.0;.plt.sec@start;;0.18;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
30;libglapi.so.0.0.0;_glapi_get_context;;0.18;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
1;SOA;main;stdio2.h:107-107,SOA.c:41-277;0.18;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
