function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
17;nbody1;compute_accelerations;nbody1.c:64-147;66.94;8.2;;;;;;"100,0,0,0,0,0,0,0,0,0";
825;libc-2.31.so;clock_nanosleep;;18.98;2.32;;;;;;"0,0,0,0,100,0,0,0,0,0";
1;nbody1;main;stdio2.h:107-107,nbody1.c:41-232;4.29;0.52;;;;;;"100,0,0,0,0,0,0,0,0,0";
814;iris_dri.so;__driDriverGetExtensions_d3d12;;3.06;0.38;;;;;;"0,0,0,0,0,0,0,0,0,100";
849;libSDL2-2.0.so.0.10.0;SDL_DYNAPI_entry;;1.63;0.2;;;;;;"0,0,0,0,0,0,0,0,0,100";
818;iris_dri.so;nouveau_drm_screen_create;;0.82;0.1;;;;;;"0,0,0,0,0,0,0,0,0,100";
1103;libc-2.31.so;ioctl;;0.61;0.08;;;;;;"0,0,0,0,0,0,100,0,0,0";
15;libglapi.so.0.0.0;.text@start;;0.61;0.08;;;;;;"0,0,0,0,100,0,0,0,0,0";
232;libpthread-2.31.so;__GI___pthread_once;;0.41;0.05;;;;;;"0,0,0,0,0,100,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.41;0.05;;;;;;"0,0,0,0,100,0,0,0,0,0";
1332;libc-2.31.so;recvmsg;;0.2;0.03;;;;;;"0,0,0,0,0,0,100,0,0,0";
1325;libc-2.31.so;__connect;;0.2;0.03;;;;;;"0,0,0,0,0,0,100,0,0,0";
1060;libc-2.31.so;__poll;;0.2;0.03;;;;;;"0,0,0,0,0,0,100,0,0,0";
911;libX11.so.6.3.0;_XimLcctstoutf8;;0.2;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
584;libc-2.31.so;pthread_attr_setschedparam;;0.2;0.03;;;;;;"0,0,0,0,0,100,0,0,0,0";
240;libGLX_mesa.so.0.0.0;glAreTexturesResidentEXT;;0.2;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
237;libGLX_mesa.so.0.0.0;glIsTextureEXT;;0.2;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
233;libGLX_mesa.so.0.0.0;.plt.sec@start;;0.2;0.03;;;;;;"0,0,0,0,100,0,0,0,0,0";
209;libc-2.31.so;__cxa_atexit;;0.2;0.03;;;;;;"0,0,0,0,100,0,0,0,0,0";
30;libglapi.so.0.0.0;_glapi_get_context;;0.2;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
22;ld-2.31.so;_dl_exception_free;;0.2;0.03;;;;;;"0,0,0,0,100,0,0,0,0,0";
