block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
289;nbody0;nbody0.c:54-136;43.03;3.44;3.44;3.44;3.44;0;1;
287;nbody0;nbody0.c:54-136;41.59;3.33;3.33;3.33;3.33;0;1;
286;nbody0;nbody0.c:133-133;1.63;0.13;0.13;0.13;0.13;0;1;
288;nbody0;nbody0.c:133-133;1.44;0.11;0.11;0.11;0.11;0;1;
88;nbody0;nbody0.c:116-116;0.63;0.05;0.05;0.05;0.05;0;1;
103;nbody0;nbody0.c:116-116;0.63;0.05;0.05;0.05;0.05;0;1;
106;nbody0;nbody0.c:116-116;0.5;0.04;0.04;0.04;0.04;0;1;
53;nbody0;nbody0.c:116-116;0.38;0.03;0.03;0.03;0.03;0;1;
100;nbody0;nbody0.c:116-116;0.38;0.03;0.03;0.03;0.03;0;1;
94;nbody0;nbody0.c:116-116;0.31;0.02;0.02;0.02;0.02;0;1;
91;nbody0;nbody0.c:116-116;0.31;0.02;0.02;0.02;0.02;0;1;
97;nbody0;nbody0.c:116-116;0.25;0.02;0.02;0.02;0.02;0;1;
283;nbody0;nbody0.c:54-136;0.19;0.01;0.01;0.01;0.01;0;1;
57;nbody0;nbody0.c:116-116;0.13;0.01;0.01;0.01;0.01;0;1;
59;nbody0;nbody0.c:116-116;0.13;0.01;0.01;0.01;0.01;0;1;
65;nbody0;nbody0.c:116-116;0.13;0.01;0.01;0.01;0.01;0;1;
51;nbody0;nbody0.c:114-114;0.06;0;0;0;0;0;1;
55;nbody0;nbody0.c:116-116;0.06;0;0;0;0;0;1;
56;nbody0;nbody0.c:115-115;0.06;0;0;0;0;0;1;
73;nbody0;nbody0.c:115-115;0.06;0;0;0;0;0;1;
70;nbody0;nbody0.c:115-115;0.06;0;0;0;0;0;1;
285;nbody0;nbody0.c:134-134;0.06;0;0;0;0;0;1;
19;nbody0;nbody0.c:54-152;0.06;0;0;0;0;0;1;
34;nbody0;nbody0.c:54-145;0.06;0;0;0;0;0;1;
