function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
17;nbody0;compute_accelerations;nbody0.c:54-139;87.93;7.03;;;;;;"100,0,0,0,0,0,0,0,0,0";
1;nbody0;main;nbody0.c:54-224,stdio2.h:107-107,rdtsc.h:5-7;4.19;0.33;;;;;;"100,0,0,0,0,0,0,0,0,0";
814;iris_dri.so;__driDriverGetExtensions_d3d12;;1.81;0.14;;;;;;"0,0,0,0,0,0,0,0,0,100";
849;libSDL2-2.0.so.0.10.0;SDL_DYNAPI_entry;;1.19;0.1;;;;;;"0,0,0,0,0,0,0,0,0,100";
818;iris_dri.so;nouveau_drm_screen_create;;0.94;0.07;;;;;;"0,0,0,0,0,0,0,0,0,100";
1902;libc-2.31.so;__nss_database_lookup;;0.56;0.04;;;;;;"0,0,0,0,0,0,0,0,0,100";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.5;0.04;;;;;;"0,0,0,0,100,0,0,0,0,0";
237;libGLX_mesa.so.0.0.0;glIsTextureEXT;;0.31;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
911;libX11.so.6.3.0;_XimLcctstoutf8;;0.25;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
584;libc-2.31.so;pthread_attr_setschedparam;;0.19;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
443;libc-2.31.so;_IO_getc;;0.13;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
296;libc-2.31.so;swapcontext;;0.13;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
153;libpthread-2.31.so;__GI___pthread_mutex_lock;;0.13;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
78;libxcb.so.1.1.0;xcb_wait_for_special_event;;0.13;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
15;libglapi.so.0.0.0;.text@start;;0.13;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.13;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
1060;libc-2.31.so;__poll;;0.06;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
802;iris_dri.so;.plt.sec@start;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
753;libX11.so.6.3.0;_XlcCreateDefaultCharSet;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
590;libX11.so.6.3.0;XStringToKeysym;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
586;libc-2.31.so;__libc_free;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
585;libc-2.31.so;__libc_malloc;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
566;libc-2.31.so;pthread_mutex_unlock;;0.06;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
506;libc-2.31.so;_IO_link_in;;0.06;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
375;libX11.so.6.3.0;XUnlockDisplay;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
363;libc-2.31.so;_IO_getline_info;;0.06;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
338;libdbus-1.so.3.19.11;dbus_threads_init_default;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
239;libGLX_mesa.so.0.0.0;MesaGLInteropGLXExportObject;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
175;libzstd.so.1.4.4;ZSTD_decompressStream_simpleArgs;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
85;libexpat.so.1.6.11;XML_GetFeatureList;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
65;libGLX.so.0.0.0;glXCreateContext;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
65;libxcb.so.1.1.0;xcb_send_request;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
30;libglapi.so.0.0.0;_glapi_get_context;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
20;libxshmfence.so.1.0.0;xshmfence_reset;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
14;libglapi.so.0.0.0;.plt.sec@start;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
3;libdbus-1.so.3.19.11;.plt.sec@start;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;[vdso];Unknown function;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
