block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
308;nbody0;nbody0.c:64-144;45.26;1.1;1.1;1.1;1.1;0;1;
310;nbody0;nbody0.c:64-144;43.37;1.06;1.06;1.06;1.06;0;1;
309;nbody0;nbody0.c:141-141;1.68;0.04;0.04;0.04;0.04;0;1;
57;nbody0;nbody0.c:124-124;1.26;0.03;0.03;0.03;0.03;0;1;
307;nbody0;nbody0.c:141-141;1.26;0.03;0.03;0.03;0.03;0;1;
306;nbody0;nbody0.c:142-142;1.05;0.03;0.03;0.03;0.03;0;1;
108;nbody0;nbody0.c:124-124;0.84;0.02;0.02;0.02;0.02;0;1;
93;nbody0;nbody0.c:124-124;0.63;0.02;0.02;0.02;0.02;0;1;
96;nbody0;nbody0.c:124-124;0.63;0.02;0.02;0.02;0.02;0;1;
99;nbody0;nbody0.c:124-124;0.63;0.02;0.02;0.02;0.02;0;1;
56;nbody0;nbody0.c:123-123;0.42;0.01;0.01;0.01;0.01;0;1;
102;nbody0;nbody0.c:124-124;0.42;0.01;0.01;0.01;0.01;0;1;
105;nbody0;nbody0.c:124-124;0.42;0.01;0.01;0.01;0.01;0;1;
111;nbody0;nbody0.c:124-124;0.42;0.01;0.01;0.01;0.01;0;1;
304;nbody0;nbody0.c:64-144;0.42;0.01;0.01;0.01;0.01;0;1;
59;nbody0;nbody0.c:124-124;0.21;0.01;0.01;0.01;0.01;0;1;
63;nbody0;nbody0.c:124-124;0.21;0.01;0.01;0.01;0.01;0;1;
114;nbody0;nbody0.c:123-123;0.21;0.01;0.01;0.01;0.01;0;1;
66;nbody0;nbody0.c:123-123;0.21;0.01;0.01;0.01;0.01;0;1;
311;nbody0;nbody0.c:136-136;0.21;0.01;0.01;0.01;0.01;0;1;
