block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
308;nbody0;nbody0.c:64-144;45.26;1.1;;;;;;
310;nbody0;nbody0.c:64-144;43.37;1.06;;;;;;
309;nbody0;nbody0.c:141-141;1.68;0.04;;;;;;
57;nbody0;nbody0.c:124-124;1.26;0.03;;;;;;
307;nbody0;nbody0.c:141-141;1.26;0.03;;;;;;
306;nbody0;nbody0.c:142-142;1.05;0.03;;;;;;
108;nbody0;nbody0.c:124-124;0.84;0.02;;;;;;
93;nbody0;nbody0.c:124-124;0.63;0.02;;;;;;
96;nbody0;nbody0.c:124-124;0.63;0.02;;;;;;
99;nbody0;nbody0.c:124-124;0.63;0.02;;;;;;
56;nbody0;nbody0.c:123-123;0.42;0.01;;;;;;
102;nbody0;nbody0.c:124-124;0.42;0.01;;;;;;
105;nbody0;nbody0.c:124-124;0.42;0.01;;;;;;
111;nbody0;nbody0.c:124-124;0.42;0.01;;;;;;
304;nbody0;nbody0.c:64-144;0.42;0.01;;;;;;
59;nbody0;nbody0.c:124-124;0.21;0.01;;;;;;
63;nbody0;nbody0.c:124-124;0.21;0.01;;;;;;
114;nbody0;nbody0.c:123-123;0.21;0.01;;;;;;
66;nbody0;nbody0.c:123-123;0.21;0.01;;;;;;
311;nbody0;nbody0.c:136-136;0.21;0.01;;;;;;
