block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
287;nbody1;nbody1.c:64-144;31.08;3.81;4.03;4.03;4.03;0;1;
289;nbody1;nbody1.c:64-144;27.03;3.31;3.5;3.5;3.5;0;1;
288;nbody1;nbody1.c:141-141;2.32;0.28;0.3;0.3;0.3;0;1;
286;nbody1;nbody1.c:141-141;1.74;0.21;0.22;0.22;0.22;0;1;
97;nbody1;nbody1.c:124-124;1.16;0.14;0.15;0.15;0.15;0;1;
283;nbody1;nbody1.c:64-144;0.77;0.09;0.1;0.1;0.1;0;1;
106;nbody1;nbody1.c:124-124;0.58;0.07;0.08;0.08;0.08;0;1;
88;nbody1;nbody1.c:124-124;0.39;0.05;0.05;0.05;0.05;0;1;
91;nbody1;nbody1.c:124-124;0.39;0.05;0.05;0.05;0.05;0;1;
100;nbody1;nbody1.c:124-124;0.39;0.05;0.05;0.05;0.05;0;1;
51;nbody1;nbody1.c:122-122;0.19;0.02;0.03;0.03;0.03;0;1;
54;nbody1;nbody1.c:123-123;0.19;0.02;0.03;0.03;0.03;0;1;
53;nbody1;nbody1.c:124-124;0.19;0.02;0.03;0.03;0.03;0;1;
94;nbody1;nbody1.c:124-124;0.19;0.02;0.03;0.03;0.03;0;1;
103;nbody1;nbody1.c:124-124;0.19;0.02;0.03;0.03;0.03;0;1;
109;nbody1;nbody1.c:123-123;0.19;0.02;0.03;0.03;0.03;0;1;
279;nbody1;nbody1.c:138-138;0.19;0.02;0.03;0.03;0.03;0;1;
290;nbody1;nbody1.c:136-136;0.19;0.02;0.03;0.03;0.03;0;1;
