block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
287;nbody1;nbody1.c:64-144;32.86;4.03;;;;;;
289;nbody1;nbody1.c:64-144;28.57;3.5;;;;;;
288;nbody1;nbody1.c:141-141;2.45;0.3;;;;;;
286;nbody1;nbody1.c:141-141;1.84;0.22;;;;;;
97;nbody1;nbody1.c:124-124;1.22;0.15;;;;;;
283;nbody1;nbody1.c:64-144;0.82;0.1;;;;;;
106;nbody1;nbody1.c:124-124;0.61;0.08;;;;;;
88;nbody1;nbody1.c:124-124;0.41;0.05;;;;;;
91;nbody1;nbody1.c:124-124;0.41;0.05;;;;;;
100;nbody1;nbody1.c:124-124;0.41;0.05;;;;;;
51;nbody1;nbody1.c:122-122;0.2;0.03;;;;;;
54;nbody1;nbody1.c:123-123;0.2;0.03;;;;;;
53;nbody1;nbody1.c:124-124;0.2;0.03;;;;;;
94;nbody1;nbody1.c:124-124;0.2;0.03;;;;;;
103;nbody1;nbody1.c:124-124;0.2;0.03;;;;;;
109;nbody1;nbody1.c:123-123;0.2;0.03;;;;;;
279;nbody1;nbody1.c:138-138;0.2;0.03;;;;;;
290;nbody1;nbody1.c:136-136;0.2;0.03;;;;;;
